time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-05-18 00:00:00,-3,-5,86,0,,240,15,,993,,3
2025-05-18 01:00:00,-3,-5,86,0,,230,17,,993,,2
2025-05-18 02:00:00,-4,-6,86,0,,220,17,,993,,2
2025-05-18 03:00:00,-4,-6,86,0,,220,15,,993,,3
2025-05-18 04:00:00,-3,-5,86,0,,230,19,,993,,3
2025-05-18 05:00:00,-3,-5,86,0,,230,17,,993,,2
2025-05-18 06:00:00,-3,-5,86,0,,240,22,,993,,2
2025-05-18 07:00:00,-3,-5,86,0,,240,24,,992,,2
2025-05-18 08:00:00,-3,-5,86,0,,240,26,,992,,2
2025-05-18 09:00:00,-2,-5,80,0,,240,26,,992,,2
2025-05-18 10:00:00,-2,-5,80,0,,250,26,,992,,3
2025-05-18 11:00:00,-1,-4,80,0,,250,24,,992,,3
2025-05-18 12:00:00,2,-3.9,65,0,,240,20,,992,,3
2025-05-18 13:00:00,3,-2.9,65,0,,240,19,,992,,3
2025-05-18 14:00:00,5,-3.1,56,0,,220,22,,992,,3
2025-05-18 15:00:00,5,-4,52,0,,200,22,,992,,3
2025-05-18 16:00:00,4,-4,56,0,,190,24,,992,,3
2025-05-18 17:00:00,2,-2.9,70,0,,210,13,,992,,3
2025-05-18 18:00:00,1,-2.9,75,0,,210,11,,993,,3
2025-05-18 19:00:00,0,-3.9,75,0,,200,11,,993,,3
2025-05-18 20:00:00,1,-5.1,64,0,,210,17,,993,,3
2025-05-18 21:00:00,-1,-4,80,0,,210,11,,993,,3
2025-05-18 22:00:00,-1,-4,80,0,,230,9,,993,,3
2025-05-18 23:00:00,-1,-4,80,0,,220,11,,993,,3
2025-05-19 00:00:00,0,-5,69,0,,220,15,,993,,3
2025-05-19 01:00:00,0,-5,69,0,,210,13,,993,,3
2025-05-19 02:00:00,1,-5.1,64,0,,220,20,,993,,3
2025-05-19 03:00:00,2,-6.1,55,0,,230,30,,993,,3
2025-05-19 04:00:00,1,-5.9,60,0,,230,30,,993,,3
2025-05-19 05:00:00,1,-5.9,60,0,,230,28,,993,,3
2025-05-19 06:00:00,1,-5.1,64,0,,230,22,,993,,3
2025-05-19 07:00:00,2,-5,60,0.1,,230,28,,994,,14
2025-05-19 08:00:00,1,-2.9,75,0.3,,210,30,,995,,15
2025-05-19 09:00:00,1,-2.1,80,0.2,,210,19,,996,,14
2025-05-19 10:00:00,1,-4.1,69,0,,210,30,,997,,3
2025-05-19 11:00:00,2,-3.9,65,0,,210,28,,998,,3
2025-05-19 12:00:00,2,-3.9,65,0,,200,24,,999,,3
2025-05-19 13:00:00,3,-2.9,65,0,,200,26,,1000,,3
2025-05-19 14:00:00,3,-4,60,0,,210,26,,1001,,3
2025-05-19 15:00:00,3,-4,60,0,,210,24,,1003,,3
2025-05-19 16:00:00,3,-4.9,56,0,,200,35,,1004,,3
2025-05-19 17:00:00,2,-3.9,65,0,,190,20,,1006,,3
2025-05-19 18:00:00,2,-3.9,65,0,,200,20,,1007,,3
2025-05-19 19:00:00,1,-2.9,75,0,,200,17,,1009,,3
2025-05-19 20:00:00,1,-2.9,75,0,,190,24,,1010,,3
2025-05-19 21:00:00,0,-3,80,0,,190,20,,1012,,3
2025-05-19 22:00:00,0,-3.9,75,0,,190,15,,1013,,2
2025-05-19 23:00:00,0,-3.9,75,0,,190,17,,1014,,3
2025-05-20 00:00:00,-2,-5,80,0,,210,13,,1015,,3
