time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-04-30 00:00:00,6.7,3.5,80,0,,0,0,,1007.9,,2
2025-04-30 01:00:00,5.1,3,86,0,,150,5.4,,1007.4,,3
2025-04-30 02:00:00,5.1,2.8,85,0,,0,0,,1007.4,,3
2025-04-30 03:00:00,7.5,1.8,67,0,,0,0,,1007.4,,2
2025-04-30 04:00:00,9.5,0.9,55,0,,100,7.6,,1007.3,,2
2025-04-30 05:00:00,9,1.4,59,0,,250,7.6,,1007.4,,2
2025-04-30 06:00:00,9.2,2.1,61,0,,180,5.4,,1007.5,,2
2025-04-30 07:00:00,9.8,1.4,56,0,,20,11.2,,1007.4,,3
2025-04-30 08:00:00,10.2,1.8,56,0,,320,22.3,,1007.5,,3
2025-04-30 09:00:00,10.6,0,48,0,,320,31.3,,1007.4,,3
2025-04-30 10:00:00,10.1,0.1,50,0,,360,22.3,,1007.7,,3
2025-04-30 11:00:00,10.4,-1,45,0,,360,16.6,,1007.6,,3
2025-04-30 12:00:00,11.2,0,46,0,,360,9.4,,1007.3,,3
2025-04-30 13:00:00,12,-0.9,41,0,,360,24.1,,1006.7,,3
2025-04-30 14:00:00,12,1.3,48,0,,360,24.1,,1006.3,,3
2025-04-30 15:00:00,11.2,3.7,60,0,,320,24.1,,1006,,3
2025-04-30 16:00:00,10.8,3.6,61,0,,340,29.5,,1005.7,,3
2025-04-30 17:00:00,11,4,62,0,,340,20.5,,1006.2,,3
2025-04-30 18:00:00,10.5,4,64,0,,340,22.3,,1006.3,,3
2025-04-30 19:00:00,10,3.9,66,0,,320,16.6,,1006.3,,3
2025-04-30 20:00:00,10,3.9,66,0,,340,11.2,,1006.1,,3
2025-04-30 21:00:00,9.5,4.1,69,0,,0,0,,1006.6,,3
2025-04-30 22:00:00,9.5,4.1,69,0,,230,3.6,,1006.4,,3
2025-04-30 23:00:00,8.6,4.6,76,0,,160,9.4,,1007,,3
2025-05-01 00:00:00,8.1,5.2,82,0,,240,25.9,,1007.8,,3
2025-05-01 01:00:00,7.5,5,84,0,,230,20.5,,1008.2,,4
2025-05-01 02:00:00,7.2,5.2,87,0,,230,14.8,,1008.4,,4
2025-05-01 03:00:00,7.3,5.1,86,0,,230,18.4,,1008.6,,4
2025-05-01 04:00:00,7,5.1,88,0,,230,25.9,,1008.6,,3
2025-05-01 05:00:00,6.9,4.6,85,0,,230,27.7,,1009,,3
2025-05-01 06:00:00,6.5,4.2,85,0,,230,27.7,,1009.2,,3
2025-05-01 07:00:00,6.1,4.3,88,0,,230,24.1,,1009.4,,3
2025-05-01 08:00:00,5.8,4.6,92,0,,230,13,,1009.7,,3
2025-05-01 09:00:00,5.7,3.9,88,0,,230,14.8,,1009.7,,3
2025-05-01 10:00:00,5.7,4.3,91,0,,180,14.8,,1010.1,,3
2025-05-01 11:00:00,5.7,5,95,0,,180,9.4,,1009.8,,3
2025-05-01 12:00:00,6,5.6,97,0,,50,14.8,,1009.7,,3
2025-05-01 13:00:00,5.7,5.1,96,0,,90,13,,1009.3,,4
2025-05-01 14:00:00,6,5.1,94,0,,90,16.6,,1008.8,,3
2025-05-01 15:00:00,6.8,3,77,0,,90,29.5,,1008.3,,3
2025-05-01 16:00:00,6.8,3,77,0,,90,29.5,,1007.8,,2
2025-05-01 17:00:00,6.1,3.9,86,0,,70,25.9,,1007.3,,2
2025-05-01 18:00:00,5.4,3.6,88,0,,50,9.4,,1006.9,,2
2025-05-01 19:00:00,5,3.3,89,0,,50,18.4,,1006.5,,3
2025-05-01 20:00:00,5.1,3.4,89,0,,50,14.8,,1006,,2
2025-05-01 21:00:00,4.9,3.6,91,0,,360,7.6,,1005.5,,2
2025-05-01 22:00:00,4.5,3.3,92,0,,50,7.6,,1005,,2
2025-05-01 23:00:00,4.2,2.7,90,0,,20,5.4,,1004.7,,2
2025-05-02 00:00:00,3.9,2.7,92,0,,360,1.8,,1004.1,,2
2025-05-02 01:00:00,3.6,2.6,93,0,,340,5.4,,1003.7,,1
2025-05-02 02:00:00,3.7,2.7,93,0,,360,7.6,,1003.1,,2
2025-05-02 03:00:00,3.9,2.7,92,0,,320,5.4,,1002.7,,2
2025-05-02 04:00:00,3.5,2.8,95,0,,250,3.6,,1002.3,,2
2025-05-02 05:00:00,2,1.1,94,0,,250,7.6,,1001.8,,2
2025-05-02 06:00:00,3.5,2.8,95,0,,0,0,,1001.6,,2
2025-05-02 07:00:00,3.5,2.8,95,0,,230,11.2,,1001.8,,1
2025-05-02 08:00:00,3.2,2.5,95,0,,230,13,,1001.8,,2
2025-05-02 09:00:00,3.4,2.4,93,0,,230,9.4,,1002,,5
2025-05-02 10:00:00,3.4,2.7,95,0,,320,13,,1002.2,,5
2025-05-02 11:00:00,3.5,3.1,97,0,,230,7.6,,1002.1,,5
2025-05-02 12:00:00,4.4,3.2,92,0,,360,3.6,,1001.8,,5
2025-05-02 13:00:00,5.1,4.7,97,0,,50,9.4,,1001.3,,5
2025-05-02 14:00:00,4.7,4.6,99,0,,140,5.4,,1001,,5
2025-05-02 15:00:00,4.2,4.1,99,0,,50,3.6,,1000,,5
2025-05-02 16:00:00,4.6,3.6,93,0,,90,3.6,,999.2,,5
2025-05-02 17:00:00,5,3.2,88,0,,50,3.6,,998.7,,5
2025-05-02 18:00:00,3.8,2.8,93,0,,360,3.6,,998.6,,5
2025-05-02 19:00:00,3.6,2.9,95,0,,250,3.6,,998,,5
2025-05-02 20:00:00,3.5,2.9,96,0,,20,3.6,,997.6,,5
2025-05-02 21:00:00,3.4,3,97,0,,230,3.6,,997,,5
2025-05-02 22:00:00,2.7,2.3,97,0,,230,3.6,,996.3,,5
2025-05-02 23:00:00,3,2.6,97,0,,50,3.6,,996.1,,5
2025-05-03 00:00:00,3.5,2.9,96,0.1,,270,5.4,,995.9,,3
2025-05-03 01:00:00,4.4,3.4,93,0.2,,180,3.6,,995.2,,3
2025-05-03 02:00:00,4.4,3.4,93,0.2,,0,0,,994.8,,3
2025-05-03 03:00:00,5.3,4.1,92,0.5,,360,3.6,,994.5,,3
2025-05-03 04:00:00,6.5,3.3,80,0.9,,230,42.5,,994.1,,3
2025-05-03 05:00:00,6.5,3.3,80,0.5,,230,22.3,,994.9,,7
2025-05-03 06:00:00,7.1,4.1,81,0,,230,33.5,,994.5,,7
2025-05-03 07:00:00,6.5,1,68,0,,230,44.3,,994.5,,4
2025-05-03 08:00:00,6.7,-0.3,61,0,,230,44.3,,994.9,,4
2025-05-03 09:00:00,6.1,0,65,0,,230,38.9,,995.6,,4
2025-05-03 10:00:00,5.6,0.6,70,0,,230,35.3,,995.6,,3
2025-05-03 11:00:00,5.5,-0.4,66,0,,230,25.9,,995.9,,3
2025-05-03 12:00:00,6,-0.7,62,0,,230,18.4,,996.1,,3
2025-05-03 13:00:00,6,0.1,66,0,,230,18.4,,996.2,,3
2025-05-03 14:00:00,6.7,-0.3,61,0,,230,9.4,,996.2,,3
2025-05-03 15:00:00,7,-0.7,58,0,,230,14.8,,996,,3
2025-05-03 16:00:00,7.4,-1.3,54,0,,230,14.8,,996.1,,3
2025-05-03 17:00:00,6.6,-0.2,62,0,,230,22.3,,996.3,,3
2025-05-03 18:00:00,5.4,0.6,71,0,,230,38.9,,996.5,,2
2025-05-03 19:00:00,5,0.9,75,0.2,,230,33.5,,997.1,,2
